Gene ID	Gene Name	g1.WithInSampleAbundance	g7.WithInSampleAbundance	g6.WithInSampleAbundance	g10.WithInSampleAbundance	g5.WithInSampleAbundance	g3.WithInSampleAbundance	g8.WithInSampleAbundance	g9.WithInSampleAbundance	g2.WithInSampleAbundance	g4.WithInSampleAbundance
DSCC1		806	0	0	0	0	314	0	384	0	0
DSG1		1137	2014	1534	1839	1649	1265	1368	1796	2259	3735
DSG2		4548	5407	5688	1524	3359	963	4575	6361	3632	4224
DSG3		424	0	0	4981	457	0	0	0	0	0
DSN1		1940	1576	2066	1821	1323	1194	2474	1381	4166	1711
DSP		1603	2223	2775	1794	1670	983	2123	3833	1958	4126
DST		143	73	157	32	162	143	129	141	201	126
DSTN		182992	406389	445112	220952	335451	327413	447950	233677	448882	461943
DTD1		7727	2325	3149	5513	6415	4851	2347	1021	4939	3225
DTNA		639	0	1071	950	1640	0	1356	830	2219	796
DTX3L		5049	3249	2996	1342	2467	2841	2536	2161	3162	3391
DTYMK		15051	12637	12595	13279	6701	11888	12108	14469	18700	13112
DUS1L		0	0	0	0	0	161	0	375	0	0
DUS2		51	0	0	0	0	0	1902	553	0	155
DUS3L		586	209	404	0	489	0	495	510	726	662
DUSP12		935	0	1039	0	0	1666	2191	1599	0	639
DUSP22		653	1001	2180	739	2501	2401	0	747	0	0
DUSP23		25278	37249	47318	18167	26197	20062	34172	30700	14643	36088
DUSP3		23955	26170	26917	18104	19457	18310	28216	16843	24751	25652
DUT		19496	18663	19830	13993	20047	17160	20610	20958	17754	25751
DVL2		96	0	0	0	0	0	0	62	0	0
DYM		543	279	313	0	0	250	325	1519	0	1493
DYNC1H1		4609	3902	5127	4215	4006	4186	6719	4906	4197	4998
DYNC1I2		3639	5246	3439	5069	5313	5248	4764	4648	6175	3469
DYNC1LI1		4252	3145	3737	2650	4351	4287	3055	5339	4296	2349
DYNC1LI2		6012	5984	10222	8571	7255	7738	11049	6955	14937	4436
DYNC2H1		0	112	457	134	21	106	416	125	486	31
DYNLL1		40605	48327	70017	25008	47671	42347	44142	24292	42464	19223
DYNLL2		13003	21676	25632	13203	21841	18716	24264	13854	14510	15121
DYNLRB1		61411	69022	99752	92040	63862	52102	79160	76989	37616	62944
DYNLT1		7867	6428	5988	2828	12635	17219	14888	5266	13256	8281
